case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price
Stainless Steel,Stainless Steel and 18kt Yellow Gold Rolex Jubilee,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond / Roman Numeral,41.0,100.0,22425.0
18kt Everose Gold,18kt Everose Gold Rolex President,Solid,18kt Everose Gold,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose-Gold Tone,Arabic Numeral,31.0,100.0,26910.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Frederique Constant,MENS,Automatic,Luxury,14.0,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,42.0,100.0,1249.0
Platinum,Platinum Rolex President,Solid,Platinum,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver tone,Diamond,36.0,100.0,58135.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Raymond Weil,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,39.0,50.0,598.0
Stainless Steel set with Crystals,Stainless Steel,Solid,Stainless Steel,Swarovski,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Mineral,Rose Gold-tone,Index,35.0,50.0,229.0
Titanium,Rubber,Transparent,18kt Sedna™ Gold with a Blue Ceramic Top Ring,Omega,MENS,Automatic,Dive,16.6,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,48.0,1200.0,14500.0
18kt Yellow Gold,18kt Yellow Gold Rolex President,Solid,Diamond Set,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-Tone,Diamond,36.0,100.0,55475.0
Stainless Steel,Leather,Solid,Stainless Steel,Breitling,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,44.0,500.0,5175.0
Stainless Steel,(Calfskin) Leather,Solid,Stainless Steel with a Grey Aluminium Ring showing Tachymeter Markings,Omega,MENS,Automatic,Dress,11.196182331158523,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,38.0,100.0,4150.0
Stainless Steel,Stainless Steel Rolex Oyster,Solid,Stainless Steel,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,28.0,100.0,9085.0
Stainless Steel,Leather,Solid,Stainless Steel,Equipe,MENS,Quartz,Sport,13.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,45.0,200.0,189.99
Super Titanium,Super Titanium,Solid,Super Titanium,Citizen,MENS,Eco-Drive,Casual,10.5,Scratch Resistant Mineral,Silver-tone,Index-Arabic Numeral,42.0,100.0,204.0
Stainless Steel,Rubber,Solid,Stainless Steel,U-Boat,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,40.0,50.0,1015.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Rose Gold-tone,Index,42.0,50.0,133.0
Stainless Steel,Leather,Solid,Stainless Steel,Hamilton,MENS,Quartz,Sport,13.75,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,46.0,100.0,782.93
Base Metal,Silicone,Screw Down,Base Metal,Joshua And Sons,MENS,Quartz,Sport,13.0,Scratch Resistant Mineral,Luminous Silver-tone,Index,46.0,10.0,164.99
Stainless Steel,Stainless Steel with 18kt Rose Gold Links,Solid,18kt Rose Gold,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Alternating Dot and Roman Numeral,39.0,30.0,6165.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,40.0,200.0,118.99
Stainless Steel,Rubber,Solid,Stainless Steel with a Yellow Gold-tone Rim,Bulova,MENS,Quartz,Sport,12.7,Scratch Resistant Mineral,Luminous Yellow Gold-tone,Alternating Roman Numeral and Index,44.0,100.0,289.0
18kt Rose Gold,18kt Rose Gold,Transparent,Diamond-Set,Omega,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold,Diamond,35.0,100.0,25740.0
Stainless Steel,(Alligator) Leather,Transparent,Stainless Steel,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Blue,Index,39.0,50.0,5175.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,WOMENS,Quartz,Casual,11.5,Scratch Resistant Mineral,Luminous Yellow Gold-tone,Roman Numeral and Square,38.0,100.0,65.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel with an inalid Blue Ring,Invicta,MENS,Automatic,Casual,15.5,Scratch Resistant Mineral,Luminous Silver-tone,Dot,47.0,200.0,94.49
Polished Alloy,Leather,Solid,Alloy,Burgi,WOMENS,Quartz,Dress,8.0,Mineral Crystal with a Hardened Coating,Rose Gold-tone,Applied Swarovski Stone Dots,34.0,30.0,41.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel set with Diamonds,Gv2 By Gevril,WOMENS,Quartz,Dress,9.5,Anti-Reflective Sapphire,Black Skeleton,Black Roman Numeral,40.0,30.0,450.0
Stainless Steel,Stainless Steel and 18kt Everose Gold Rolex Oyster,Solid,18kt Everose Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Diamond / Roman Numeral,41.0,100.0,21000.0
18kt King Gold,Rubber,Transparent See Through,18kt King Gold,Hublot,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Arabic Numeral,42.0,100.0,49390.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,MENS,Eco-Drive,Casual,11.196182331158523,Scratch Resistant Mineral,Luminous Gold-tone,Index,40.0,100.0,169.99
Stainless Steel,Leather,Solid,Stainless Steel,Breitling,MENS,Automatic,Luxury,10.74,Scratch Resistant Sapphire,Luminous Silver-tone,Arabic Numeral,41.0,100.0,2995.0
Stainless Steel,Leather,Transparent,Stainless Steel,Nomos,WOMENS,Hand Wind,Casual,7.6,Scratch Resistant Sapphire,Gold-tone,Index,32.0,30.0,1350.0
Stainless Steel,Alligator,Transparent See Through,Stainless Steel,Omega,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,34.0,30.0,2875.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Panerai,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,44.0,30.0,8510.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Seiko,WOMENS,Quartz,Dress,7.0,Scratch Resistant Hardlex,Gold-tone,Arabic Numeral,29.0,50.0,169.0
Brass (set allover with Crystals),Stainless Steel Mesh,Solid,Brass set with Crystals,Burgi,WOMENS,Quartz,Fashion,7.5,Scratch Resistant Hardlex,Rose Gold-tone Dauphine-style,Diamond,33.0,30.0,61.0
Stainless Steel,Rubber,Solid,Diamond Set Stainless Steel,Patek Philippe,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,38.0,120.0,61235.0
Stainless Steel,Stainless Steel and Black Ceramic,Solid,Stainless Steel set with 52 Diamonds,Chanel,WOMENS,Quartz,Luxury,7.8,Scratch Resistant Sapphire,Silver-tone,Diamond,21.0,30.0,6775.0
Stainless Steel,Stainless Steel and 18kt Yellow Gold Rolex Jubilee,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Diamond,36.0,100.0,21275.0
950 Platinum,950 Platinum,Skeleton,950 Platinum,Audemars Piguet,MENS,Automatic,Luxury,9.3,Scratch Resistant Sapphire,Blackened gold,Index,39.0,20.0,339250.0
Stainless Steel,Stainless Steel Mesh,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Dress,6.0,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond,32.0,50.0,135.0
Stainless Steel,(Alligator) Leather,Solid,Stainless Steel,Bell And Ross,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,39.0,100.0,2875.0
Stainless Steel,Leather,Solid,Stainless Steel,Tudor,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Diamond,36.0,100.0,3880.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Red and Blue (Pepsi) Ring,Orient,MENS,Automatic,Sport,14.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,43.0,200.0,529.98
18kt White Gold,Crocodile Leather,Solid,Diamond Set 18kt White Gold,Franck Muller,UNISEX,Quartz,Sport,8.7,Scratch Resistant Sapphire,Blue,Arabic Numeral,28.0,94.38815128863104,9200.0
Stainless Steel,Leather (Double Wrap),Solid,Stainless Steel set with Diamonds,Bulova,WOMENS,Quartz,Dress,6.9,Scratch Resistant Mineral,Silver-tone,Index,30.0,30.0,299.0
Ceramic & Stainless Steel,Ceramic & Stainless Steel,Solid,Stainless Steel,Chanel,WOMENS,Quartz,Dress,11.196182331158523,Scratch Resistant Sapphire,White,Shapes,12.0,200.0,5750.0
Platinum,Alligator Leather,Transparent,Platinum,Patek Philippe,MENS,Hand Wind,Luxury,11.196182331158523,Scratch Resistant Sapphire,Platinum Leaf-style shape,Arabic Numeral,41.0,94.38815128863104,209410.0
18kt White Gold,18kt White Gold,Solid,Diamond Set 18kt White Gold,Piaget,WOMENS,Hand Wind,Luxury,6.0,Scratch Resistant Sapphire,Silver-tone,Index,27.0,94.38815128863104,15909.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,16.0,Scratch Resistant Sapphire,Silver-tone,Index,43.0,200.0,1624.0
Stainless Steel,Alligator Leather,Solid,18kt Rose Gold,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone Dauphine-style,Alternaing Roman Numeral and Dot,39.0,30.0,4660.0
Stainless Steel,Stainless Steel,Transparent See Through,Ceramic,Tissot,MENS,Automatic,Sport,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,45.0,100.0,979.0
Stainless Steel,Stainless Steel and 18kt Everose Gold Rolex Jubile,Solid,18kt Everose Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold,Diamond,41.0,100.0,19125.0
18kt White Gold,(Alligator) Leather,Transparent,18kt White Gold set with Diamonds,Piaget,WOMENS,Automatic,Luxury,9.9,Scratch Resistant Sapphire,White Gold,Index,36.0,100.0,14500.0
Stainless Steel and 18kt Yellow Gold,Stainless Steel and 18kt Yellow Gold Jubilee,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Diamond,31.0,100.0,20930.0
Alloy,Stainless Steel,Solid,Alloy,Stuhrling Original,WOMENS,Quartz,Dress,7.0,Scratch Resistant Mineral,Rose Gold-tone,Arabic Numeral,38.0,50.0,115.0
18kt Yellow Gold,18kt Yellow Gold Oyster,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Diamonds,40.0,100.0,57950.0
Alloy,Stainless Steel,Solid,Alloy,Stuhrling Original,WOMENS,Quartz,Dress,9.0,Scratch Resistant Mineral,Yellow Gold-tone,Index,38.0,50.0,115.0
Stainless Steel,Silicone,Solid,Stainless Steel,Mann Egerton,MENS,Quartz,Luxury,15.0,Scratch Resistant Mineral,Silver-tone,Index,45.0,94.38815128863104,100.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Omega,MENS,Automatic,Luxury,10.0,Scratch Resistant Sapphire,Silver-tone Dauphine-style,Index,39.0,30.0,2915.0
18kt Rose Gold,Alligator,Solid,18kt Rose Gold,Jaeger LeCoultre,MENS,Hand Wind,Dress,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone,Index,49.0,30.0,47150.0
Alloy,Leather,Transparent,Alloy,Stuhrling Original,MENS,Automatic,Dress,12.5,Scratch Resistant Mineral,Gold-tone Leaf-style,Index,44.0,50.0,215.0
Rose Gold,Corocodile Leather,Transparent,18kt Rose Gold,Audemars Piguet,MENS,Hand Wind,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone Leaf-style shape,Rose Gold,34.0,94.38815128863104,165720.0
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Chopard,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral,33.0,30.0,7750.0
316L Stainless Steel,Leather,Solid,Stainless Steel,Tissot,WOMENS,Quartz,Casual,7.1,Scratch Resistant Sapphire,Silver-tone,Index,20.0,30.0,108.0
Stainless Steel,Leather,Transparent,Stainless Steel,Tissot,WOMENS,Automatic,Casual,9.48,Scratch Resistant Sapphire,Rose Gold-tone Leaf-style,Index,30.0,50.0,279.0
Stainless Steel,Genuine Leather,Solid,Stainless Steel,Gv2 By Gevril,MENS,Quartz,Luxury,13.0,Scratch Resistant Sapphire,Silver-tone,Index,42.0,50.0,749.0
Stainless Steel,Nato Nylon,Transparent,Stainless Steel,Omega,MENS,Automatic,Dive,11.196182331158523,Scratch Resistant Sapphire,Luminous Black Arrow-shaped,Index,41.0,150.0,3995.0
Hardmetal,Stainless Steel,Solid,Stainless Steel,Rado,WOMENS,Automatic,Luxury,10.7,Scratch Resistant Sapphire,Luminous Yelloq Gold-tone,Diamond,27.0,30.0,899.0
18kt Rose Gold,(Crocodile) Leather,Solid,18kt Rose Gold,Breguet,MENS,Automatic,Luxury,15.0,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Arabic Numeral,42.0,100.0,15970.0
Stainless steel,Stainless Steel,Solid,Stainless steel,Rudiger,MENS,Quartz,Casual,6.0,Scratch Resistant Mineral,Black,Index,36.0,30.0,329.99
Stainless Steel,Rubber,Transparent,Stainless Steel,Revue Thommen,MENS,Automatic,Casual,13.0,Scratch Resistant Sapphire,Silver-tone,Index,43.0,100.0,690.0
18kt Rose Gold,Alligator Leather,Solid,18kt Rose Gold,Jaeger LeCoultre,MENS,Hand Wind,Luxury,10.2,Scratch Resistant Sapphire,Blue and luminous,Arabic Numeral,30.0,30.0,19855.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel set with Crystals,Lucien Piccard,WOMENS,Quartz,Dress,10.5,Mineral,Silver,Dot,34.0,50.0,59.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Citizen,WOMENS,Quartz,Casual,8.5,Scratch Resistant Mineral,Luminous Silver-tone,Index,25.0,50.0,84.0
Stainless Steel,(Calfskin) Leather,Transparent,Stainless Steel,Carl F. Bucherer,MENS,Automatic,Luxury,14.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,44.0,50.0,4600.0
Stainless Steel,Stainless Steel,Solid,Diamond Set Stainless Steel,Corum,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Roman Numeral & Index,24.0,94.38815128863104,2000.0
18kt Rose Gold,Alligator Leather,Skeleton Transparent Exhibition See Through,18kt Rose Gold,Roger Dubuis,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold-tone Dauphine-style shape,Roman Numeral,42.0,30.0,22750.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Chopard,WOMENS,Quartz,Luxury,9.0,Scratch Resistant Sapphire,Luminous,Index,28.0,50.0,4080.0
Titanium,Rubber,Transparent,Titanium,Breguet,MENS,Automatic,Luxury,11.5,Scratch Resistant Sapphire,Grey,Roman Numeral,40.0,100.0,15950.0
Stainless Steel,Stainless Steel,Transparent See Through,Stainless Steel,Zenith,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,38.0,50.0,7050.0
Stainless Steel,Alligator,Transparent See Through,Stainless Steel,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Black,Roman Numeral,41.0,30.0,3395.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Tag Heuer,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Luminous Silver-tone,Index,39.0,100.0,5750.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Blue,Roman Numeral,30.0,30.0,870.37
Stainless Steel,Leather,Solid,Stainless Steel,Brooklyn Watch Co.,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,luminous Silver-tone,Index,45.0,50.0,79.0
Stainless Steel,Gold-plated Stainless Steel,Solid,Stainless Steel with a Black Top Ring,Invicta,MENS,Quartz,Casual,11.0,Flame Fusion,Luminous Gold-tone,Dot,43.0,200.0,53.99
Stainless Steel,Stainless Steel and 18kt Gold,Solid,Stainless Steel,Tudor,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,28.0,94.38815128863104,1695.0
18kt Yellow Gold Diamond Encrusted,18kt Yellow Gold Rolex President,Solid,Diamond Set,Rolex,WOMENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold-Tone,Diamond,26.0,100.0,33810.0
Stainless Steel,Stainless Steel with Crystals,Solid,Stainless Steel,Swatch,WOMENS,Quartz,Dress,8.5,Scratch Resistant Mineral,Silver-tone,Dot,25.0,30.0,64.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,11.196182331158523,Scratch Resistant Mineral,Silver-tone,Index,40.0,200.0,118.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,11.0,Scratch Resistant Mineral,Silver-tone,Index,30.0,50.0,84.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Seiko,WOMENS,Quartz,Casual,7.0,Scratch Resistant Hardlex,Blue,Arabic Numeral,29.0,50.0,149.0
Plastic,Silicone,Solid,Plastic,Swatch,MENS,Quartz,Casual,11.75,Plexiglass,Luminous Black,Index,47.0,30.0,69.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Jaeger LeCoultre,WOMENS,Quartz,Casual,11.196182331158523,Scratch Resistant Sapphire,Blue Baton,Arabic Numeral,24.0,30.0,6075.0
Stainless Steel,Calfskin Leather,Solid,Stainless Steel,Certina,WOMENS,Quartz,Casual,10.0,Scratch Resistant Sapphire,Luminous Silver-tone,Index,32.0,100.0,199.99
Stainless Steel,Silicone,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,11.5,Flame Fusion,Gold-tone,Index,45.0,50.0,42.0
18kt Rose Gold,Alligator Leather,Solid,Diamond Set,Cartier,WOMENS,Quartz,Dress,7.3,Scratch Resistant Sapphire,Blued-steel Sword-shaped,Roman Numeral,31.0,30.0,17840.0
Stainless Steel,Stainless Steel Oyster,Solid,18kt White Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,42.0,100.0,27540.0
18kt Yellow Gold,18kt Yellow Gold Diamond-Set President,Solid,Diamond Set,Rolex,UNISEX,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Yellow Gold,Index-Roman Numerals,36.0,100.0,129580.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Longines,WOMENS,Quartz,Luxury,6.9,Scratch Resistant Sapphire,Blue,Roman Numeral,32.0,30.0,975.0
Stainless Steel,(Alligator) Leather,Solid,Stainless Steel,IWC,MENS,Automatic,Luxury,13.6,Scratch Resistant Sapphire,Rose Gold-tone Leaf-style,Index,42.0,30.0,5360.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with a Blue Aluminium Ring,Tudor,MENS,Automatic,Luxury,11.9,Scratch Resistant Sapphire,Luminous Silver-tone,Dot,39.0,200.0,3685.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel with an inlaid Black Ring,Citizen,MENS,Eco-Drive,Sport,11.7,Scratch Resistant Mineral,Grey,Index,43.0,100.0,149.0
Stainless Steel,Stainless Steel,Solid,Titanium,Omega,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone Skeleton,Dot,42.0,300.0,5025.0
18kt Rose Gold,Blue Rubber Strap with 18kt Rose Gold Inserts,Transparent,18kt Rose Gold,Ulysse Nardin,MENS,Automatic,Luxury,13.85,Scratch Resistant Sapphire,Rose Gold-tone Skeleton,Arabic Numeral,43.0,100.0,21845.0
Stainless Steel,Silicone,Solid,Stainless Steel,Invicta,MENS,Quartz,Casual,14.0,Scratch Resistant Mineral,Gold-tone,Index,51.0,100.0,89.99
Alloy,Leather,Solid,Alloy,Simplify,UNISEX,Quartz,Casual,11.0,Scratch Resistant Mineral,Luminous Red,Index,42.0,30.0,114.99
Stainless Steel,Rubber and Black Heavy-duty Canvas,Solid,Stainless Steel,Bell And Ross,MENS,Automatic,Casual,10.0,Scratch Resistant Sapphire,Luminous,Index,42.0,100.0,3095.0
Stainless Steel,Leather,Transparent See Through,Stainless Steel,Tag Heuer,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,39.0,100.0,4950.0
18kt White Gold,Satin,Transparent,Diamond Set,Breguet,WOMENS,Automatic,Luxury,8.5,Scratch Resistant Sapphire,Blue,Arabic Numeral,33.0,30.0,29890.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Mido,WOMENS,Automatic,Dress,10.5,Scratch Resistant Sapphire,Rose Gold-tone,Diamond,33.0,50.0,636.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Mathey-Tissot,WOMENS,Quartz,Casual,11.0,Scratch Resistant Mineral,Luminous Yellow Gold-tone,Index,30.0,50.0,85.0
Stainless Steel,Stainless Steel,Solid,18kt Yellow Gold with a brown Ceramic Insert,Longines,MENS,Automatic,Sport,13.5,Scratch Resistant Sapphire,Gold-tone,Arabic Numeral,39.0,100.0,3340.0
18kt Rose Gold,18kt Rose Gold,Transparent,18kt Rose Gold set with Diamonds,Audemars Piguet,WOMENS,Hand Wind,Luxury,9.8,Scratch Resistant Sapphire,Rose Gold-tone Alpha-style,Roman Numeral,39.0,20.0,50195.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel showing Tachymeter Markings,Invicta,MENS,Quartz,Casual,13.5,Scratch Resistant Mineral,Luminous Gold-tone,Index,39.0,200.0,73.75
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Orient,MENS,Automatic,Casual,12.6,Scratch Resistant Mineral,Luminous Gold-tone,Index,41.0,50.0,179.0
Stainless Steel,Rubber,Solid,Brushed Stainless Steel,Panerai,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index,44.0,300.0,8965.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Gevril,MENS,Automatic,Luxury,16.0,Scratch Resistant Sapphire,Silver-tone,Arabic Numeral,42.0,100.0,2135.0
Stainless Steel,Stainless Steel,Screw Down,Stainless Steel,Akribos Xxiv,MENS,Quartz,Casual,14.5,Mineral with a Sapphire Coating,Luminous Silver-tone Arrow-shaped,Dot,52.0,50.0,91.99
Stainless Steel,Stainless Steel,Solid,Stainless Steel with Purple Aluminum,Invicta,MENS,Quartz,Sport,20.0,Scratch Resistant Mineral,Luminous Silver-tone,Arabic Numeral and Dot,52.0,200.0,159.0
Stainless Steel,Leather,Solid,Stainless Steel,U-Boat,MENS,Automatic,Casual,11.196182331158523,Scratch Resistant Sapphire,Black,Arabic Numeral & Index,45.0,94.38815128863104,2940.0
Stainless Steel,Stainless Steel,Skeleton,Stainless Steel,Chopard,MENS,Automatic,Luxury,14.0,Scratch Resistant Sapphire,Luminous,Index,42.0,50.0,5850.0
18kt Rose Gold,Alligator Leather,See Through,18kt Rose Gold,Panerai,MENS,Hand Wind,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-toned,Index,47.0,50.0,21820.0
18kt Rose Gold,18kt Rose Gold Tubogas,Solid,18kt Rose Gold,Bvlgari,WOMENS,Quartz,Luxury,11.196182331158523,Scratch Resistant Sapphire,Rose Gold,Diamond,26.0,30.0,13219.0
Stainless Steel,Stainless Steel and 18kt Yellow Gold Rolex Oyster,Solid,18kt Yellow Gold with a Blue Cerachrom (Count-Up Elapsed Time) Top Ring,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,41.0,300.0,16495.0
Ceramic,Fabric NATO,Transparent,Ceramic,Blancpain,MENS,Automatic,Luxury,13.4,Scratch Resistant Sapphire,Luminous Grey,Dot,43.0,300.0,9450.0
18kt Rose Gold,(Alligator) Leather,Solid,18kt Rose Gold set with 46 Diamonds (~0.73 ct),Patek Philippe,WOMENS,Quartz,Luxury,6.9,Scratch Resistant Sapphire,Luminous Rose Gold-tone,Index,32.0,60.0,61235.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Ball,MENS,Automatic,Dive,15.2,Scratch Resistant Sapphire,Luminous Silver-tone,Index,42.0,300.0,2064.3
Stainless Steel,Leather,Transparent,Stainless Steel,Hamilton,WOMENS,Automatic,Casual,11.18,Scratch Resistant Sapphire,Silver-tone,Index,34.0,100.0,777.0
18kt White Gold,Leather,Skeleton Transparent Exhibition See Through,18kt White Gold,Jaeger LeCoultre,MENS,Hand Wind,Luxury,11.55,Scratch Resistant Sapphire,Black Leaf-style shape,Index,42.0,50.0,100465.0
Titanium,(Structured Lined) Rubber,Transparent,Titanium,Hublot,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Silver-tone,Index-Arabic Numerals,42.0,100.0,15810.0
Stainless Steel,Rubber,Solid,Stainless Steel with a Black Ceramic Ring,Raymond Weil,MENS,Hand Wind,Dive,11.7,Scratch Resistant Sapphire,Silver-tone with Red Seconds Hand,Index,42.0,300.0,2870.0
18kt Yellow Gold,Elastomer,Solid,18kt Yellow Gold,Rolex,MENS,Automatic,Luxury,11.196182331158523,Scratch Resistant Sapphire,Gold-tone,Index,42.0,100.0,41050.0
Stainless Steel,Leather,Solid,Stainless Steel,Baume Et Mercier,MENS,Automatic,Casual,9.5,Scratch Resistant Sapphire,Blued steel Leaf-style,Index,42.0,50.0,1850.0
Stainless Steel,Stainless Steel,Transparent,Stainless Steel,Omega,MENS,Automatic,Dress,13.2,Scratch Resistant Sapphire,Luminous Silver-tone Arrow-shaped,Index,41.0,150.0,3995.0
Stainless Steel,Stainless Steel,Solid,Stainless Steel,Hamilton,UNISEX,Automatic,Sport,14.6,Scratch Resistant Sapphire,Silver-tone,Index,44.0,100.0,1661.3
Stainless Steel,Stainless Steel,Solid,Stainless Steel showing Tachymeter Markings,Invicta,MENS,Quartz,Casual,13.5,Scratch Resistant Mineral,Luminous Silver-tone,Index,39.0,200.0,82.85
Stainless Steel,Rubber,Transparent,Stainless Steel,Revue Thommen,MENS,Automatic,Casual,15.6,Scratch Resistant Sapphire,Luminous Black,Arabic Numerals,43.0,100.0,930.0
18kt Rose Gold,(Alligator) Leather,Transparent,18kt Rose Gold set with 60 Diamonds,Jaeger LeCoultre,WOMENS,Automatic,Luxury,9.56,Scratch Resistant Sapphire,Blue Sword-shaped,Black Arabic Numeral,34.0,50.0,16995.0
Stainless Steel,Rubber and Silk with Embroidery,Transparent,Carbon Fiber and Silk,Hublot,MENS,Automatic,Luxury,14.0,Scratch Resistant Sapphire,Silver-tone Skeleton,11 diamonds (0.20 carats),41.0,100.0,9770.0
